Deal Type,Telcos:device_full_name,device name look up,brand_name,colour,Telcos:storage_size,img_link,Telcos:network,provider logo,Telcos:connectivity,Telcos:inc_data,Monthly Data,Telcos:term,Telcos:initial_cost,Telcos:month_cost,Telcos:deal_cost_json,aw_deep_link,promo_text
Tablet,Alcatel 3T 8 2020 (32GB Black),Alcatel 3T 8 2020,Alcatel,Black,32GB,https://media.bigupdata.co.uk/2020-11-13_16-51-56_img_product_image_main_large1_product_edition0000093722.png?h=400&w=400&auto=enhance&auto=format&bg=FFFFFF&trim=color&trimcolor=FFFFFF&trim=auto&trimtol=2,O2,http://media.bigupdata.co.uk/img_company_logo_large1_company0000000021.png,4G,500,500MB,24,30,11.5,"{""tco_inc_vat"": ""306.00"", ""monthly_device_final_term_exc_vat"": """", ""upfront_inc_vat"": ""30.00"", ""monthly_total_previous_inc_vat"": """", ""tco_exc_vat"": ""255.00"", ""ecpm_inc_vat"": ""12.75"", ""monthly_device_final_term_months"": """", ""ecpm_exc_vat"": ""10.62"", ""upfront_exc_vat"": ""25.00"", ""monthly_device_term_months"": ""24"", ""monthly_device_final_term_inc_vat"": """", ""monthly_contract_term_months"": ""24"", ""monthly_total_inc_vat"": ""11.50"", ""monthly_device_inc_vat"": ""5.50"", ""upfront_previous_inc_vat"": """", ""monthly_contract_inc_vat"": ""6.00"", ""upfront_previous_exc_vat"": """", ""monthly_contract_exc_vat"": ""5.00"", ""monthly_device_exc_vat"": ""4.58"", ""monthly_total_exc_vat"": ""9.58"", ""monthly_total_previous_exc_vat"": """"}",https://www.awin1.com/pclick.php?p=30726300615&a=713067&m=3235,
Tablet,Alcatel 3T 8 2020 (32GB Black),Alcatel 3T 8 2020,Alcatel,Black,32GB,https://media.bigupdata.co.uk/2020-11-13_16-51-56_img_product_image_main_large1_product_edition0000093722.png?h=400&w=400&auto=enhance&auto=format&bg=FFFFFF&trim=color&trimcolor=FFFFFF&trim=auto&trimtol=2,O2,http://media.bigupdata.co.uk/img_company_logo_large1_company0000000021.png,4G,500,500MB,12,30,17,"{""tco_inc_vat"": ""234.00"", ""monthly_device_final_term_exc_vat"": """", ""upfront_inc_vat"": ""30.00"", ""monthly_total_previous_inc_vat"": """", ""tco_exc_vat"": ""195.00"", ""ecpm_inc_vat"": ""19.50"", ""monthly_device_final_term_months"": """", ""ecpm_exc_vat"": ""16.25"", ""upfront_exc_vat"": ""25.00"", ""monthly_device_term_months"": ""12"", ""monthly_device_final_term_inc_vat"": """", ""monthly_contract_term_months"": ""12"", ""monthly_total_inc_vat"": ""17.00"", ""monthly_device_inc_vat"": ""11.00"", ""upfront_previous_inc_vat"": """", ""monthly_contract_inc_vat"": ""6.00"", ""upfront_previous_exc_vat"": """", ""monthly_contract_exc_vat"": ""5.00"", ""monthly_device_exc_vat"": ""9.17"", ""monthly_total_exc_vat"": ""14.17"", ""monthly_total_previous_exc_vat"": """"}",https://www.awin1.com/pclick.php?p=30726300645&a=713067&m=3235,
Tablet,Alcatel 3T 8 2020 (32GB Black),Alcatel 3T 8 2020,Alcatel,Black,32GB,https://media.bigupdata.co.uk/2020-11-13_16-51-56_img_product_image_main_large1_product_edition0000093722.png?h=400&w=400&auto=enhance&auto=format&bg=FFFFFF&trim=color&trimcolor=FFFFFF&trim=auto&trimtol=2,O2,http://media.bigupdata.co.uk/img_company_logo_large1_company0000000021.png,4G,1000,1GB,36,0,11,"{""tco_inc_vat"": ""396.00"", ""monthly_device_final_term_exc_vat"": """", ""upfront_inc_vat"": ""0.00"", ""monthly_total_previous_inc_vat"": """", ""tco_exc_vat"": ""330.00"", ""ecpm_inc_vat"": ""11.00"", ""monthly_device_final_term_months"": """", ""ecpm_exc_vat"": ""9.17"", ""upfront_exc_vat"": ""0.00"", ""monthly_device_term_months"": ""36"", ""monthly_device_final_term_inc_vat"": """", ""monthly_contract_term_months"": ""36"", ""monthly_total_inc_vat"": ""11.00"", ""monthly_device_inc_vat"": ""4.00"", ""upfront_previous_inc_vat"": """", ""monthly_contract_inc_vat"": ""7.00"", ""upfront_previous_exc_vat"": """", ""monthly_contract_exc_vat"": ""5.83"", ""monthly_device_exc_vat"": ""3.33"", ""monthly_total_exc_vat"": ""9.17"", ""monthly_total_previous_exc_vat"": """"}",https://www.awin1.com/pclick.php?p=32128096265&a=713067&m=3235,3 months Free Disney+
Tablet,Alcatel 3T 8 2020 (32GB Black),Alcatel 3T 8 2020,Alcatel,Black,32GB,https://media.bigupdata.co.uk/2020-11-13_16-51-56_img_product_image_main_large1_product_edition0000093722.png?h=400&w=400&auto=enhance&auto=format&bg=FFFFFF&trim=color&trimcolor=FFFFFF&trim=auto&trimtol=2,O2,http://media.bigupdata.co.uk/img_company_logo_large1_company0000000021.png,4G,1000,1GB,12,30,18,"{""tco_inc_vat"": ""246.00"", ""monthly_device_final_term_exc_vat"": """", ""upfront_inc_vat"": ""30.00"", ""monthly_total_previous_inc_vat"": """", ""tco_exc_vat"": ""205.00"", ""ecpm_inc_vat"": ""20.50"", ""monthly_device_final_term_months"": """", ""ecpm_exc_vat"": ""17.08"", ""upfront_exc_vat"": ""25.00"", ""monthly_device_term_months"": ""12"", ""monthly_device_final_term_inc_vat"": """", ""monthly_contract_term_months"": ""12"", ""monthly_total_inc_vat"": ""18.00"", ""monthly_device_inc_vat"": ""11.00"", ""upfront_previous_inc_vat"": """", ""monthly_contract_inc_vat"": ""7.00"", ""upfront_previous_exc_vat"": """", ""monthly_contract_exc_vat"": ""5.83"", ""monthly_device_exc_vat"": ""9.17"", ""monthly_total_exc_vat"": ""15.00"", ""monthly_total_previous_exc_vat"": """"}",https://www.awin1.com/pclick.php?p=32128096273&a=713067&m=3235,3 months Free Disney+
Tablet,Alcatel 3T 8 2020 (32GB Black),Alcatel 3T 8 2020,Alcatel,Black,32GB,https://media.bigupdata.co.uk/2020-11-13_16-51-56_img_product_image_main_large1_product_edition0000093722.png?h=400&w=400&auto=enhance&auto=format&bg=FFFFFF&trim=color&trimcolor=FFFFFF&trim=auto&trimtol=2,O2,http://media.bigupdata.co.uk/img_company_logo_large1_company0000000021.png,4G,1000,1GB,36,30,10.67,"{""tco_inc_vat"": ""414.12"", ""monthly_device_final_term_exc_vat"": """", ""upfront_inc_vat"": ""30.00"", ""monthly_total_previous_inc_vat"": """", ""tco_exc_vat"": ""345.10"", ""ecpm_inc_vat"": ""11.50"", ""monthly_device_final_term_months"": """", ""ecpm_exc_vat"": ""9.59"", ""upfront_exc_vat"": ""25.00"", ""monthly_device_term_months"": ""36"", ""monthly_device_final_term_inc_vat"": """", ""monthly_contract_term_months"": ""36"", ""monthly_total_inc_vat"": ""10.67"", ""monthly_device_inc_vat"": ""3.67"", ""upfront_previous_inc_vat"": """", ""monthly_contract_inc_vat"": ""7.00"", ""upfront_previous_exc_vat"": """", ""monthly_contract_exc_vat"": ""5.83"", ""monthly_device_exc_vat"": ""3.06"", ""monthly_total_exc_vat"": ""8.89"", ""monthly_total_previous_exc_vat"": """"}",https://www.awin1.com/pclick.php?p=32128096285&a=713067&m=3235,3 months Free Disney+
Tablet,Alcatel 3T 8 2020 (32GB Black),Alcatel 3T 8 2020,Alcatel,Black,32GB,https://media.bigupdata.co.uk/2020-11-13_16-51-56_img_product_image_main_large1_product_edition0000093722.png?h=400&w=400&auto=enhance&auto=format&bg=FFFFFF&trim=color&trimcolor=FFFFFF&trim=auto&trimtol=2,O2,http://media.bigupdata.co.uk/img_company_logo_large1_company0000000021.png,4G,1000,1GB,36,30,10.17,"{""tco_inc_vat"": ""396.12"", ""monthly_device_final_term_exc_vat"": """", ""upfront_inc_vat"": ""30.00"", ""monthly_total_previous_inc_vat"": """", ""tco_exc_vat"": ""330.10"", ""ecpm_inc_vat"": ""11.00"", ""monthly_device_final_term_months"": """", ""ecpm_exc_vat"": ""9.17"", ""upfront_exc_vat"": ""25.00"", ""monthly_device_term_months"": ""36"", ""monthly_device_final_term_inc_vat"": """", ""monthly_contract_term_months"": ""36"", ""monthly_total_inc_vat"": ""10.17"", ""monthly_device_inc_vat"": ""3.17"", ""upfront_previous_inc_vat"": """", ""monthly_contract_inc_vat"": ""7.00"", ""upfront_previous_exc_vat"": """", ""monthly_contract_exc_vat"": ""5.83"", ""monthly_device_exc_vat"": ""2.64"", ""monthly_total_exc_vat"": ""8.48"", ""monthly_total_previous_exc_vat"": """"}",https://www.awin1.com/pclick.php?p=32128096323&a=713067&m=3235,3 months Free Disney+
Tablet,Alcatel 3T 8 2020 (32GB Black),Alcatel 3T 8 2020,Alcatel,Black,32GB,https://media.bigupdata.co.uk/2020-11-13_16-51-56_img_product_image_main_large1_product_edition0000093722.png?h=400&w=400&auto=enhance&auto=format&bg=FFFFFF&trim=color&trimcolor=FFFFFF&trim=auto&trimtol=2,O2,http://media.bigupdata.co.uk/img_company_logo_large1_company0000000021.png,4G,1000,1GB,12,30,16.5,"{""tco_inc_vat"": ""228.00"", ""monthly_device_final_term_exc_vat"": """", ""upfront_inc_vat"": ""30.00"", ""monthly_total_previous_inc_vat"": """", ""tco_exc_vat"": ""190.00"", ""ecpm_inc_vat"": ""19.00"", ""monthly_device_final_term_months"": """", ""ecpm_exc_vat"": ""15.83"", ""upfront_exc_vat"": ""25.00"", ""monthly_device_term_months"": ""12"", ""monthly_device_final_term_inc_vat"": """", ""monthly_contract_term_months"": ""12"", ""monthly_total_inc_vat"": ""16.50"", ""monthly_device_inc_vat"": ""9.50"", ""upfront_previous_inc_vat"": """", ""monthly_contract_inc_vat"": ""7.00"", ""upfront_previous_exc_vat"": """", ""monthly_contract_exc_vat"": ""5.83"", ""monthly_device_exc_vat"": ""7.92"", ""monthly_total_exc_vat"": ""13.75"", ""monthly_total_previous_exc_vat"": """"}",https://www.awin1.com/pclick.php?p=32128096325&a=713067&m=3235,3 months Free Disney+
Tablet,Alcatel 3T 8 2020 (32GB Black),Alcatel 3T 8 2020,Alcatel,Black,32GB,https://media.bigupdata.co.uk/2020-11-13_16-51-56_img_product_image_main_large1_product_edition0000093722.png?h=400&w=400&auto=enhance&auto=format&bg=FFFFFF&trim=color&trimcolor=FFFFFF&trim=auto&trimtol=2,O2,http://media.bigupdata.co.uk/img_company_logo_large1_company0000000021.png,4G,1000,1GB,24,30,11.75,"{""tco_inc_vat"": ""312.00"", ""monthly_device_final_term_exc_vat"": """", ""upfront_inc_vat"": ""30.00"", ""monthly_total_previous_inc_vat"": """", ""tco_exc_vat"": ""260.00"", ""ecpm_inc_vat"": ""13.00"", ""monthly_device_final_term_months"": """", ""ecpm_exc_vat"": ""10.83"", ""upfront_exc_vat"": ""25.00"", ""monthly_device_term_months"": ""24"", ""monthly_device_final_term_inc_vat"": """", ""monthly_contract_term_months"": ""24"", ""monthly_total_inc_vat"": ""11.75"", ""monthly_device_inc_vat"": ""4.75"", ""upfront_previous_inc_vat"": """", ""monthly_contract_inc_vat"": ""7.00"", ""upfront_previous_exc_vat"": """", ""monthly_contract_exc_vat"": ""5.83"", ""monthly_device_exc_vat"": ""3.96"", ""monthly_total_exc_vat"": ""9.79"", ""monthly_total_previous_exc_vat"": """"}",https://www.awin1.com/pclick.php?p=32128096337&a=713067&m=3235,3 months Free Disney+
Tablet,Alcatel 3T 8 2020 (32GB Black),Alcatel 3T 8 2020,Alcatel,Black,32GB,https://media.bigupdata.co.uk/2020-11-13_16-51-56_img_product_image_main_large1_product_edition0000093722.png?h=400&w=400&auto=enhance&auto=format&bg=FFFFFF&trim=color&trimcolor=FFFFFF&trim=auto&trimtol=2,O2,http://media.bigupdata.co.uk/img_company_logo_large1_company0000000021.png,4G,1000,1GB,24,30,12.5,"{""tco_inc_vat"": ""330.00"", ""monthly_device_final_term_exc_vat"": """", ""upfront_inc_vat"": ""30.00"", ""monthly_total_previous_inc_vat"": """", ""tco_exc_vat"": ""275.00"", ""ecpm_inc_vat"": ""13.75"", ""monthly_device_final_term_months"": """", ""ecpm_exc_vat"": ""11.46"", ""upfront_exc_vat"": ""25.00"", ""monthly_device_term_months"": ""24"", ""monthly_device_final_term_inc_vat"": """", ""monthly_contract_term_months"": ""24"", ""monthly_total_inc_vat"": ""12.50"", ""monthly_device_inc_vat"": ""5.50"", ""upfront_previous_inc_vat"": """", ""monthly_contract_inc_vat"": ""7.00"", ""upfront_previous_exc_vat"": """", ""monthly_contract_exc_vat"": ""5.83"", ""monthly_device_exc_vat"": ""4.58"", ""monthly_total_exc_vat"": ""10.42"", ""monthly_total_previous_exc_vat"": """"}",https://www.awin1.com/pclick.php?p=32128096341&a=713067&m=3235,3 months Free Disney+
Tablet,Alcatel 3T 8 2020 (32GB Black),Alcatel 3T 8 2020,Alcatel,Black,32GB,https://media.bigupdata.co.uk/2020-11-13_16-51-56_img_product_image_main_large1_product_edition0000093722.png?h=400&w=400&auto=enhance&auto=format&bg=FFFFFF&trim=color&trimcolor=FFFFFF&trim=auto&trimtol=2,O2,http://media.bigupdata.co.uk/img_company_logo_large1_company0000000021.png,4G,1000,1GB,36,0,11.5,"{""tco_inc_vat"": ""414.00"", ""monthly_device_final_term_exc_vat"": """", ""upfront_inc_vat"": ""0.00"", ""monthly_total_previous_inc_vat"": """", ""tco_exc_vat"": ""345.00"", ""ecpm_inc_vat"": ""11.50"", ""monthly_device_final_term_months"": """", ""ecpm_exc_vat"": ""9.58"", ""upfront_exc_vat"": ""0.00"", ""monthly_device_term_months"": ""36"", ""monthly_device_final_term_inc_vat"": """", ""monthly_contract_term_months"": ""36"", ""monthly_total_inc_vat"": ""11.50"", ""monthly_device_inc_vat"": ""4.50"", ""upfront_previous_inc_vat"": """", ""monthly_contract_inc_vat"": ""7.00"", ""upfront_previous_exc_vat"": """", ""monthly_contract_exc_vat"": ""5.83"", ""monthly_device_exc_vat"": ""3.75"", ""monthly_total_exc_vat"": ""9.58"", ""monthly_total_previous_exc_vat"": """"}",https://www.awin1.com/pclick.php?p=32128096345&a=713067&m=3235,3 months Free Disney+
